Ticket_ID,Created_Date,Closed_Date,Office,Category,Priority,Status,Assigned_Team,Days_Open,SLA_Target_Days,SLA_Status,Customer_Type,Aging_Bucket
TCK-10001,2026-01-24,2026-01-24,Operations,Report Request,High,Closed,Reporting Team,0,4,Met,Program Office,0-3 days
TCK-10002,2025-06-06,2025-06-11,IT Services,System Error,Medium,Closed,Tier 1 Support,5,7,Met,Program Office,4-7 days
TCK-10003,2025-03-11,,IT Services,User Permissions,High,Open,CRM Admin,415,4,Missed,Program Office,15+ days
TCK-10004,2025-07-27,,Policy,Report Request,High,Escalated,Reporting Team,277,4,Missed,Program Office,15+ days
TCK-10005,2025-06-07,2025-06-12,Human Resources,System Error,Medium,Closed,Systems Team,5,7,Met,Internal User,4-7 days
TCK-10006,2025-04-10,,Policy,Report Request,High,Escalated,Systems Team,385,4,Missed,Leadership Office,15+ days
TCK-10007,2025-09-08,2025-09-16,Program Management,User Permissions,Medium,Closed,Tier 2 Support,8,7,Missed,Internal User,8-14 days
TCK-10008,2025-09-02,2025-09-11,Policy,User Permissions,Low,Closed,Tier 1 Support,9,10,Met,Leadership Office,8-14 days
TCK-10009,2025-12-07,2025-12-08,Finance,Data Correction,Medium,Closed,Systems Team,1,7,Met,Leadership Office,0-3 days
TCK-10010,2025-12-06,,Human Resources,User Permissions,High,Open,Reporting Team,145,4,Missed,Program Office,15+ days
TCK-10011,2025-12-28,,Program Management,Data Correction,Medium,Pending Customer,Reporting Team,123,7,Missed,Program Office,15+ days
TCK-10012,2025-12-21,,Policy,System Error,Medium,Escalated,Systems Team,130,7,Missed,Program Office,15+ days
TCK-10013,2026-01-11,,Policy,Training Request,Medium,Pending Customer,CRM Admin,109,7,Missed,Internal User,15+ days
TCK-10014,2025-05-18,,Program Management,User Permissions,High,Escalated,CRM Admin,347,4,Missed,Internal User,15+ days
TCK-10015,2025-03-28,,IT Services,System Error,High,Open,CRM Admin,398,4,Missed,Leadership Office,15+ days
TCK-10016,2025-08-09,2025-08-18,Policy,Data Correction,Low,Closed,Tier 2 Support,9,10,Met,Program Office,8-14 days
TCK-10017,2025-04-04,,Operations,Account Access,Medium,Open,Tier 2 Support,391,7,Missed,Internal User,15+ days
TCK-10018,2025-05-13,,Program Management,User Permissions,Critical,Pending Customer,Systems Team,352,2,Missed,Internal User,15+ days
TCK-10019,2026-03-21,,Human Resources,Report Request,Medium,Open,Tier 1 Support,40,7,Missed,Leadership Office,15+ days
TCK-10020,2025-05-01,2025-05-07,Human Resources,Account Access,Medium,Closed,Tier 1 Support,6,7,Met,Program Office,4-7 days
TCK-10021,2026-01-20,2026-01-22,Operations,Training Request,Critical,Closed,Tier 1 Support,2,2,Met,Program Office,0-3 days
TCK-10022,2025-11-05,,Finance,System Error,Medium,Escalated,Reporting Team,176,7,Missed,Program Office,15+ days
TCK-10023,2025-11-06,2025-11-20,Operations,Report Request,Medium,Closed,Reporting Team,14,7,Missed,Program Office,8-14 days
TCK-10024,2025-11-09,2025-11-09,Finance,Account Access,Low,Closed,Tier 1 Support,0,10,Met,Program Office,0-3 days
TCK-10025,2026-03-22,2026-03-29,IT Services,Account Access,Medium,Closed,Systems Team,7,7,Met,Program Office,4-7 days
TCK-10026,2025-12-25,2025-12-27,Program Management,Training Request,High,Closed,Reporting Team,2,4,Met,Leadership Office,0-3 days
TCK-10027,2025-07-31,,Finance,Account Access,Medium,Open,CRM Admin,273,7,Missed,Internal User,15+ days
TCK-10028,2026-02-18,2026-02-18,Operations,Training Request,High,Closed,Reporting Team,0,4,Met,Program Office,0-3 days
TCK-10029,2026-01-14,,Program Management,User Permissions,Medium,Open,Tier 1 Support,106,7,Missed,Leadership Office,15+ days
TCK-10030,2025-07-17,,Operations,Training Request,Medium,Open,Systems Team,287,7,Missed,Leadership Office,15+ days
TCK-10031,2025-09-16,2025-09-28,IT Services,System Error,Low,Closed,Tier 2 Support,12,10,Missed,Program Office,8-14 days
TCK-10032,2025-03-01,2025-03-09,Operations,Data Correction,Medium,Closed,Tier 2 Support,8,7,Missed,Leadership Office,8-14 days
TCK-10033,2025-12-25,2026-01-01,Finance,System Error,Low,Closed,CRM Admin,7,10,Met,Internal User,4-7 days
TCK-10034,2026-01-04,2026-01-08,Policy,Account Access,Medium,Closed,Tier 2 Support,4,7,Met,Leadership Office,4-7 days
TCK-10035,2025-11-21,,IT Services,Training Request,High,Open,Tier 1 Support,160,4,Missed,Leadership Office,15+ days
TCK-10036,2025-06-25,2025-06-25,Policy,User Permissions,Medium,Closed,Reporting Team,0,7,Met,Leadership Office,0-3 days
TCK-10037,2025-11-25,,Finance,Account Access,High,Escalated,CRM Admin,156,4,Missed,Internal User,15+ days
TCK-10038,2025-02-27,2025-03-07,Operations,User Permissions,Low,Closed,Tier 1 Support,8,10,Met,Leadership Office,8-14 days
TCK-10039,2025-07-08,2025-07-12,Finance,Account Access,Low,Closed,Systems Team,4,10,Met,Leadership Office,4-7 days
TCK-10040,2025-04-08,,Finance,Report Request,High,Escalated,Tier 2 Support,387,4,Missed,Leadership Office,15+ days
TCK-10041,2025-12-06,2025-12-09,Program Management,Report Request,Medium,Closed,Tier 2 Support,3,7,Met,Program Office,0-3 days
TCK-10042,2026-03-05,2026-03-15,Operations,Training Request,Low,Closed,CRM Admin,10,10,Met,Internal User,8-14 days
TCK-10043,2026-01-18,2026-01-22,Finance,Training Request,Medium,Closed,Tier 1 Support,4,7,Met,Program Office,4-7 days
TCK-10044,2026-03-11,2026-03-11,Operations,System Error,High,Closed,CRM Admin,0,4,Met,Leadership Office,0-3 days
